t,v_cmd,w_cmd,v_meas,w_meas,e_v,e_w,left_voltage,right_voltage,x_gt,y_gt,yaw_gt
0.016000,0.200000,0.000000,0.003197,0.000000,0.196803,-0.000000,2.077280,2.077280,0.000000,0.000010,0.000000
0.032000,0.200000,0.000000,0.051483,0.000000,0.148517,0.000000,1.911293,1.911293,0.000824,0.000008,0.000000
0.048000,0.200000,0.000000,0.103043,0.000000,0.096957,0.000000,1.924577,1.924577,0.002472,0.000006,0.000000
0.064000,0.200000,0.000000,0.154389,0.000000,0.045611,0.000000,1.923568,1.923568,0.004943,0.000005,0.000000
0.080000,0.200000,0.000000,0.192152,0.000000,0.007848,0.000000,1.923699,1.923699,0.008017,0.000004,0.000000
0.096000,0.200000,0.000000,0.192840,0.000000,0.007160,0.000000,1.923740,1.923740,0.011102,0.000003,0.000000
0.112000,0.200000,0.000000,0.192761,0.000000,0.007239,0.000000,1.923787,1.923787,0.014187,0.000002,0.000000
0.128000,0.200000,0.000000,0.192687,0.000000,0.007313,0.000000,1.923833,1.923833,0.017270,0.000002,0.000000
0.144000,0.200000,0.000000,0.192629,0.000000,0.007371,0.000000,1.923880,1.923880,0.020352,0.000002,0.000000
0.160000,0.200000,0.000000,0.192583,0.000000,0.007417,0.000000,1.923926,1.923926,0.023433,0.000001,0.000000
0.176000,0.200000,0.000000,0.192548,0.000000,0.007452,0.000000,1.923973,1.923973,0.026514,0.000001,0.000000
0.192000,0.200000,0.000000,0.192520,0.000000,0.007480,0.000000,1.924019,1.924019,0.029594,0.000001,0.000000
0.208000,0.200000,0.000000,0.192499,0.000000,0.007501,0.000000,1.924066,1.924066,0.032674,0.000001,0.000000
0.224000,0.200000,0.000000,0.192483,0.000000,0.007517,0.000000,1.924112,1.924112,0.035754,0.000000,0.000000
0.240000,0.200000,0.000000,0.192471,0.000000,0.007529,0.000000,1.924159,1.924159,0.038833,0.000000,0.000000
0.256000,0.200000,0.000000,0.192463,0.000000,0.007537,0.000000,1.924205,1.924205,0.041913,0.000000,0.000000
0.272000,0.200000,0.000000,0.192457,0.000000,0.007543,0.000000,1.924251,1.924251,0.044992,0.000000,0.000000
